PostId,PostText,PublishedDate
312649-392042,Why only LTE and not all network some places don't cover LTE,05 04 2022
312649-392358,Of Kom Ek Se julle praat ...,05 04 2022
312649-392360,"Ja ne julle Kom nou nog terug Na my toe . Swak Ek betaal R699 n maand v n 3m Lyn en aan die einde van die maand betaal maar beloop R1000 ekt dit laasweek verduidelik ,so is waar julle like lieg",05 04 2022
312649-392767,Wat a deal yooh,04 04 2022
312649-392773,Very good deal,04 04 2022
312649-393068,"Since I log a call last year May, query not yet resolved 🥴",04 04 2022
312649-393098,Hi What happened to the LTE Off-peak unlimited prepaid deal of R229?,04 04 2022
312649-393456,How can i upgrade my contract to this one,04 04 2022
312649-394208,Is contract,04 04 2022
312649-394222,Labonno Akhter Richi,04 04 2022
312649-394603,Hi what double deals are avail?,03 04 2022
312649-394615,I hate the fact that yall can't resolve issues and always a person should go to the nearest store as if you have lots of stores in the country. My sim has been off since the 25th March.🤬,03 04 2022
